"CODE","NAME","POSTCODE","NUMBER_OF_PRACTITIONERS","NUMBER_OF_PATIENTS","latitude","longitude"
"C82030","DOWNING DRIVE SURGERY (AJJ BENTLEY)","LE5 6LP",14,6826,52.625294,-1.063173
"C82031","JOHNSON MEDICAL PRACTICE","LE5 1BL",13,14242,52.652414,-1.067345
"C82033","HUMBERSTONE MEDICAL CENTRE (IP JONES)","LE5 0PR",12,11368,52.645126,-1.089641
"C82037","EAST PARK MEDICAL CENTRE (RP PANDYA)","LE5 5FD",8,10352,52.63365,-1.104374
"C82046","SAFFRON GROUP PRACTICE","LE2 6UL",29,17118,52.60128,-1.141224
"C82053","HOCKLEY FARM MED PRACT (A NANA)","LE3 1HN",20,10913,52.630898,-1.183899
"C82059","WESTCOTES GP SURGERY (ONE)","LE3 0QR",2,1639,52.628609,-1.15115
"C82060","THE PRACTICE-SAYEED","LE5 5AY",11,4325,52.630817,-1.106589
"C82063","EAST LEICESTER MED PRACT(S LONGWORTH)","LE5 4BP",24,12313,52.64202,-1.094937
"C82073","MERRIDALE MEDICAL CENTRE (RP TEW)","LE3 1BL",15,14387,52.619845,-1.160182
"C82080","SHEFA MEDICAL PRACTICE","LE2 0TA",5,4826,52.631081,-1.119069
"C82084","DR B MODI","LE4 6NL",4,3539,52.651579,-1.113181
"C82086","FOSSE MEDICAL CENTRE (DR H MUKADAM)","LE3 5RR",15,9421,52.636707,-1.152153
"C82088","HORIZON HEALTHCARE","LE5 5UB",7,9114,52.622375,-1.101812
"C82092","AYLESTONE HEALTH CENTRE","LE2 8SF",7,3775,52.605694,-1.152464
"C82094","BEAUMONT LODGE MEDICAL PRACTICE","LE4 0QR",5,6867,52.658279,-1.160488
"C82099","AL-WAQAS MEDICAL CENTRE","LE2 1DJ",9,4376,52.62905,-1.108339
"C82100","THE HEDGES MEDICAL CENTRE (SA BAILEY)","LE2 9BU",13,6018,52.591287,-1.146741
"C82105","AR-RAZI MEDICAL CENTRE","LE5 5PQ",1,3109,52.623926,-1.101204
"C82107","COSSINGTON PARK SURGERY","LE4 6AW",18,8145,52.648059,-1.122113
"C82114","DR U K ROY","LE3 0QD",4,2551,52.630574,-1.153143
"C82116","HIGHFIELDS SURGERY (R WADHWA)","LE2 0NN",5,4049,52.629415,-1.1186
"C82119","NARBOROUGH ROAD SURGERY","LE3 0PE",4,2610,52.624383,-1.153521
"C82122","CLARENDON PARK ROAD HEALTH CENTRE","LE2 3AG",8,5546,52.614216,-1.122738
"C82124","VICTORIA PARK HEALTH CENTRE","LE2 1XD",31,22910,52.619117,-1.11925
"C82610","THE PARKS MEDICAL CENTRE (B HAINSWORTH)","LE3 9PW",4,6227,52.646665,-1.177125
"C82614","SPIRIT PRIMARY CARE LIMITED-ASQUITH","LE2 6FQ",14,4262,52.601489,-1.117116
"C82620","DR S SHAFI","LE3 0AA",2,1883,52.628168,-1.148529
"C82623","HEATHERBROOK SURGERY (RP ARCHER)","LE4 1EF",3,3583,52.675577,-1.161777
"C82624","SPIRIT PRIMARY CARE LTD-BEAUMONT LEYS","LE4 0UZ",9,7627,52.662296,-1.15392
"C82626","PASLEY ROAD HEALTH CENTRE (TK KHONG)","LE2 9BU",6,2305,52.591287,-1.146741
"C82639","WESTEND MEDICAL PRACTICE","LE3 0LP",7,11146,52.631332,-1.153587
"C82642","HIGHFIELDS MEDICAL CENTRE","LE5 3GH",8,9829,52.641154,-1.108788
"C82643","COMMUNITY HEALTH CENTRE (ZS OSAMA)","LE2 0GU",11,13510,52.632387,-1.113421
"C82651","BROADHURST ST MED PRACT (KS MORJARIA)","LE4 6NF",3,4002,52.653472,-1.118671
"C82653","WESTCOTES GP SURGERY (TWO)","LE3 0QR",2,1702,52.628609,-1.15115
"C82659","DR R KAPUR & PARTNERS","LE2 0TA",3,2792,52.631081,-1.119069
"C82660","ST PETER'S MED CENTRE (MANSINGH & MEHRA)","LE2 0TA",4,6423,52.631081,-1.119069
"C82662","WALNUT ST MED CTR","LE2 7LE",4,6236,52.624645,-1.138787
"C82667","THE CHARNWOOD PRACTICE","LE5 3GH",13,7798,52.641154,-1.108788
"C82669","THE SURGERY @ AYLESTONE","LE2 8PR",4,4194,52.602618,-1.154819
"C82670","INCLUSION HEALTHCARE","LE1 4SX",11,887,52.637338,-1.136115
"C82671","BRANDON SURGERY DR R KAPUR & PARTNER","LE4 6AW",2,6259,52.648059,-1.122113
"C82676","ST ELIZABETH'S MEDICAL CENTRE (JA WOOD)","LE5 1DR",3,5937,52.648257,-1.061189
"C82680","SPIRIT PRIMARY CARE LTD-RUSHEY MEAD","LE4 7ZX",17,4679,52.663187,-1.103823
"Y00137","WILLOWS HEALTH","LE5 4LJ",25,6224,52.636205,-1.089264
"Y00344","LEICESTER CITY ASSIST PRACTICE","LE1 4SX",8,1506,52.637338,-1.136115
"Y02469","HERON GP PRACTICE","LE5 3GH",5,9801,52.641154,-1.108788
"Y02686","BOWLING GREEN STREET SURGERY","LE1 6AS",6,5367,52.633073,-1.133185
"Y03587","WESTCOTES MEDICAL CENTRE","LE3 0LP",14,7,52.631332,-1.153587
"C82003","GREENGATE MEDICAL CENTRE","LE4 3JF",14,11575,52.680551,-1.12854
"C82007","CASTLE DONINGTON SURGERY","DE74 2LB",14,10008,52.842673,-1.337386
"C82011","PINFOLD MEDICAL PRACTICE","LE11 1DQ",16,11878,52.771542,-1.203159
"C82012","IBSTOCK & BARLESTONE SURGERIES","LE67 6JP",19,11388,52.684869,-1.401818
"C82014","CASTLE MEDICAL GROUP","LE65 2LP",19,17541,52.749369,-1.48192
"C82017","MEASHAM MEDICAL UNIT","DE12 7HR",20,15163,52.704911,-1.508526
"C82026","BRIDGE STREET MEDICAL PRACTICE","LE11 1NQ",14,8326,52.774841,-1.20716
"C82027","THE OLD SCHOOL SURGERY","LE9 4LJ",10,7846,52.547203,-1.282771
"C82028","MARKFIELD MEDICAL CENTRE","LE67 9WU",12,7157,52.685255,-1.272985
"C82032","THE ANSTEY SURGERY","LE7 7AZ",12,7602,52.672778,-1.18718
"C82034","QUORN MEDICAL CENTRE","LE12 8BP",16,9251,52.745598,-1.165552
"C82035","PARK VIEW SURGERY","LE11 2AG",11,7633,52.769041,-1.201892
"C82041","CHARNWOOD MEDICAL GROUP","LE11 5DX",27,12470,52.774303,-1.22117
"C82043","STATION VIEW HEALTH CENTRE","LE10 1UA",18,11962,52.537249,-1.364332
"C82045","THE SURGERY","LE67 3FA",7,7298,52.726986,-1.367146
"C82047","MAPLES FAMILY MED.PRACT.","LE10 1DS",9,10405,52.541052,-1.367743
"C82050","LONG LANE SURGERY","LE67 4DR",20,13888,52.721883,-1.357685
"C82051","NEWBOLD VERDON MED.PRACT.","LE9 9PZ",16,11346,52.634612,-1.34334
"C82052","DR AM LEWIS' PRACTICE","LE67 5HX",5,3954,52.742576,-1.360679
"C82054","THE BURBAGE SURGERY","LE10 2SE",11,11569,52.530096,-1.361645
"C82061","BARWELL & HOLLYCROFT MEDICAL CENTRES","LE9 8HR",18,14039,52.567264,-1.349008
"C82062","BARROW HEALTH CENTRE","LE12 8PY",13,8581,52.751623,-1.149088
"C82064","FOREST HOUSE SURGERY","LE12 9DF",12,11932,52.766681,-1.287289
"C82070","WOODBROOK MEDICAL CENTRE","LE11 1NH",14,9858,52.774708,-1.20743
"C82072","BROOM LEYS SURGERY","LE67 4DE",11,8025,52.722883,-1.349847
"C82075","CASTLE MEAD MEDICAL CENTRE","LE10 1DS",10,10503,52.541052,-1.367743
"C82082","THE CENTRE SURGERY","LE10 1DS",12,5280,52.541052,-1.367743
"C82091","BIRSTALL MEDICAL CENTRE","LE4 4EE",8,8547,52.676539,-1.116107
"C82093","THE ORCHARD MED PRACTICE","LE9 6RG",11,12110,52.533972,-1.231693
"C82095","ALPINE HOUSE SURGERY","LE12 7JU",11,9414,52.724845,-1.139585
"C82096","HUGGLESCOTE SURGERY","LE67 2BS",15,8822,52.71103,-1.365684
"C82097","CHARNWOOD SURGERY","LE12 7DJ",6,1917,52.721778,-1.135877
"C82102","MANOR HOUSE SURGERY","LE12 9UJ",6,4679,52.785447,-1.340835
"C82103","DISHLEY GRANGE MEDICAL PRACTICE","LE11 4RZ",11,7759,52.779192,-1.240459
"C82111","CAMPUS VIEW MEDICAL CENTRE","LE11 3TU",16,18355,52.764828,-1.22952
"C82120","WHITWICK HEALTH CENTRE","LE67 5HX",4,3579,52.742576,-1.360679
"C82121","HEATH LANE SURGERY","LE9 7PB",13,14605,52.575227,-1.322924
"C82600","THE BANKS SURGERY","LE12 7RD",4,5838,52.731019,-1.105439
"C82627","SILVERDALE MEDICAL CENTRE","LE4 8NN",7,6187,52.672319,-1.090511
"C82628","GROBY SURGERY","LE6 0GL",9,3609,52.661865,-1.225017
"C82634","RATBY MEDICAL CENTRE","LE6 0JP",8,4349,52.643968,-1.237697
"C82644","DR MK LAKHANI'S PRACTICE","LE12 7UD",3,4514,52.732012,-1.101213
"C82650","DESFORD MEDICAL CENTRE","LE9 9GR",6,4887,52.627473,-1.296116
"C82656","FIELD STREET SURGERY","LE12 9AL",2,2589,52.771768,-1.291408
"C82678","THURMASTON HEALTH CENTRE","LE4 8EA",8,6706,52.672383,-1.103738
"Y00252","DR SJC CLAY'S PRACTICE","LE12 8RY",2,3179,52.72642,-1.216618
"M83001","HORSEFAIR PRACTICE","WS15 2FH",15,12015,52.767064,-1.947546
"M83016","HIGH STREET SURGERY","WS6 7AB",6,7234,52.660751,-2.031812
"M83033","HEDNESFORD MEDICAL PRACTICE","WS12 4DH",9,6285,52.71233,-2.000697
"M83048","THE NILE PRACTICE","WS6 7AE",7,9884,52.660156,-2.036941
"M83063","NORTON CANES HEALTH CENTRE","WS11 9SE",7,3557,52.673977,-1.970246
"M83107","ALDERWOOD MEDICAL PRACTICE","WS11 1QN",9,6541,52.683673,-2.040444
"M83109","DR MANICKAM & PARTNER","WS12 4DJ",5,3370,52.71073,-2.001763
"M83129","HEATH HAYES HEALTH CENTRE","WS12 3TG",11,10797,52.69062,-1.988284
"M83130","RED LION SURGERY","WS11 5XY",3,3845,52.693241,-2.030614
"M83139","MOSS STREET SURGERY","WS11 6DE",7,4821,52.702675,-2.012892
"M83608","QUINTON PRACTICE","WS6 6EW",7,5136,52.657123,-2.01749
"M83616","DR I RASIB & PARTNERS","WS11 5XY",5,5368,52.693241,-2.030614
"M83637","CHADSMOOR MEDICAL PRACTICE","WS11 5JT",6,4000,52.708065,-2.023427
"M83638","THE COLLIERY PRACTICE","WS11 1DJ",20,14035,52.688613,-2.024782
"M83698","SOUTHFIELD WAY SURGERY","WS6 6JZ",2,3372,52.658391,-2.018733
"M83703","BRERETON SURGERY","WS15 1DU",5,4895,52.747482,-1.924317
"M83717","NORTON CANES SURGERY","WS11 9SE",1,3508,52.673977,-1.970246
"M83719","RAWNSLEY SURGERY","WS12 1JF",2,4399,52.708632,-1.970089
"M83727","NORTON CANES PRACTICE","WS11 9SE",4,3887,52.673977,-1.970246
"M83738","AELFGAR SURGERY","WS15 2AB",8,6079,52.763643,-1.937621
"Y02354","SANDY LANE SURGERY","WS15 2LB",11,10160,52.756389,-1.937617
"Y02594","ESSINGTON MEDICAL CENTRE","WV11 2RF",13,2764,52.63194,-2.056915
"C81018","DOVE RIVER","DE6 5HY",11,8779,52.886433,-1.761284
"M83010","GORDON STREET SURGERY","DE14 2JA",10,10534,52.810998,-1.644613
"M83013","YOXALL","DE13 8PD",11,4661,52.767984,-1.793174
"M83026","CARLTON STREET SURGERY","DE13 0TE",14,16230,52.821427,-1.647852
"M83027","TRENT MEADOWS","DE14 3EY",17,10669,52.786495,-1.673518
"M83035","ALREWAS","DE13 7AS",10,6441,52.733084,-1.745402
"M83037","TUTBURY HEALTH CENTRE","DE13 9NA",13,8156,52.858454,-1.686361
"M83042","BRIDGE SURGERY","DE15 9AW",15,9959,52.795149,-1.621335
"M83051","WETMORE ROAD SURGERY","DE14 1SL",17,11716,52.808047,-1.626064
"M83059","ABBOTS BROMLEY SURGERY","WS15 3BT",7,3944,52.819974,-1.880966
"M83065","BARTON","DE13 8LT",14,7171,52.761751,-1.725223
"M83073","STAPENHILL MEDICAL CENTRE","DE15 9QD",13,9514,52.785524,-1.624908
"M83074","BALANCE STREET","ST14 8JG",15,13986,52.897138,-1.863524
"M83641","MILL VIEW SURGERY","ST14 5JX",6,2105,52.950664,-1.837431
"M83680","NORTHGATE SURGERY","ST14 7FN",6,6329,52.899272,-1.866567
"M83681","ALL SAINTS SURGERY","DE14 3LS",5,9452,52.794382,-1.643586
"M83718","PEEL CROFT","DE14 3RH",3,3671,52.799342,-1.633905
"Y00078","WINSHILL","DE15 0EP",5,4352,52.805914,-1.595242
"M83005","HEATHCOTE STREET SURGERY","ST5 7EB",11,5097,53.043457,-2.250955
"M83007","THE VILLAGE SURGERY","ST5 0ET",8,7465,53.033918,-2.220032
"M83011","WERRINGTON VILLAGE SURGERY","ST9 0JS",10,8056,53.021659,-2.098023
"M83012","LEEK HEALTH CENTRE","ST13 6JB",12,8023,53.105691,-2.019347
"M83015","MADELEY PRACTICE","CW3 9NQ",9,7450,52.999856,-2.345126
"M83017","ASHLEY SURGERY","TF9 4LF",8,4438,52.925797,-2.355543
"M83023","KIDSGROVE MEDICAL CENTRE","ST7 4AY",12,9180,53.087366,-2.234085
"M83025","MILLER STREET SURGERY","ST5 1JD",12,6387,53.013803,-2.218424
"M83034","SILVERDALE MEDICAL CENTRE","ST5 6PS",17,12001,53.015627,-2.267264
"M83046","BIDDULPH VALLEY SURGERY","ST8 6AG",13,9778,53.116111,-2.178498
"M83054","AUDLEY HEALTH CENTRE","ST7 8EW",14,10146,53.054192,-2.300579
"M83056","WOLSTANTON MEDICAL CENTRE","ST5 8BN",18,11085,53.03118,-2.218169
"M83067","LYME VALLEY MEDICAL CENTRE","ST5 3TF",9,8076,53.006296,-2.223795
"M83071","PARK MEDICAL CENTRE","ST13 6QR",20,12333,53.107255,-2.020513
"M83079","DR J GREIG & PARTNERS","ST13 6LU",10,9022,53.106725,-2.019587
"M83084","DR ROBINSON & PARTNERS","ST7 4AY",10,6563,53.087366,-2.234085
"M83089","BIDDULPH DOCTORS","ST8 6AG",20,10939,53.116111,-2.178498
"M83096","DR KS UPTON'S PRACTICE","ST10 1BH",7,5904,52.988358,-1.986582
"M83103","ALLEN STREET CLINIC","ST10 1HJ",9,4373,52.983844,-1.98244
"M83108","DR DO YATES' PRACTICE","ST10 1EY",10,7293,52.986389,-1.983708
"M83121","TEAN SURGERY","ST10 4EG",8,6093,52.954415,-1.988036
"M83122","WATERHOUSES MEDICAL PRACT","ST10 3HY",9,3032,53.057948,-1.882446
"M83140","HIGHERLAND SURGERY","ST5 2UE",6,4578,53.009075,-2.232692
"M83141","KINGSBRIDGE MEDICAL CENTRE","ST5 3HP",11,8895,52.9927,-2.226198
"M83640","ALTON SURGERY","ST10 4AP",7,2648,52.976632,-1.891066
"M83670","KEELE PRACTICE","ST5 5BG",6,7763,53.00309,-2.273713
"M83691","BETLEY SURGERY","CW3 9BJ",4,1923,53.02466,-2.368641
"M83697","MILEHOUSE MEDICAL PRACTICE","ST5 9GA",3,3181,53.021714,-2.241153
"M83701","TALKE PITS CLINIC","ST7 1QQ",9,4235,53.068936,-2.257192
"M83723","LOOMER MEDICAL PARTNERSHIP","ST5 7JS",22,12092,53.036306,-2.248632
"M83006","THE WESTGATE PRACTICE","WS13 6JL",34,29664,52.683537,-1.821176
"M83018","GRAVEL HILL SURGERY","WV5 9HA",9,8217,52.534052,-2.185723
"M83030","THE LANGTON MEDICAL GROUP","WS13 7FA",27,13904,52.696405,-1.837644
"M83031","RUSSELL HOUSE SURGERY","WV8 1HD",13,6469,NA,NA
"M83032","THE ALDERGATE MED.PRACT.","B79 8BH",17,13585,52.639079,-1.695644
"M83062","LAUREL HOUSE SURGERY","B79 7JN",23,12728,52.636563,-1.692825
"M83072","SALTERS MEADOW HEALTH CTR","WS7 1AQ",11,11434,52.68216,-1.933023
"M83088","HOLLIES PRACTICE","B79 7EA",19,15720,52.636838,-1.695121
"M83093","DALE MEDICAL PRACTICE","WV5 8DX",8,6468,52.533011,-2.196155
"M83097","BILBROOK MEDICAL CENTRE","WV8 1DX",8,8434,52.624775,-2.181749
"M83110","HEATHVIEW MEDICAL PRACTICE","B77 2ED",9,12561,52.621966,-1.663812
"M83111","RIVERSIDE SURGERY","B79 7BH",4,1935,52.632337,-1.699518
"M83113","DR KHARE'S SURGERY","B77 4JA",3,2340,52.617686,-1.651222
"M83117","CROWN MEDICAL PRACTICE","B79 7EA",6,8800,52.636838,-1.695121
"M83125","CLAVERLEY","WV5 7BY",10,3583,52.539301,-2.307368
"M83132","LAKESIDE","WV6 7PD",5,5805,52.595468,-2.203683
"M83148","THE PEEL MEDICAL PRACTICE","B79 7DJ",20,14507,52.634794,-1.697308
"M83617","DARWIN MEDICAL CENTRE","WS7 0EW",24,18267,52.676119,-1.906218
"M83668","TAMAR MEDICAL CENTRE","WV6 7QU",4,4829,52.593944,-2.201358
"M83693","TRI-LINKS MEDICAL PRACTICE","B77 3BZ",9,6845,52.634849,-1.664038
"M83706","STONYDELPH MEDICAL PRACTICE","B77 4JA",5,1804,52.617686,-1.651222
"M83715","FEATHERSTONE","WV10 7BS",11,4755,52.645773,-2.089566
"Y02414","BURNTWOOD HEALTH & WELLBEING CENTRE","WS7 3XH",8,5010,52.678511,-1.93365
"M83009","BREWOOD MEDICAL PRACTICE","ST19 9BQ",18,10780,52.676538,-2.187392
"M83020","CUMBERLAND HOUSE","ST15 8AP",13,9813,52.901549,-2.145844
"M83022","HAZELDENE HOUSE SURGERY","ST18 0SU",8,8024,52.800688,-2.004496
"M83024","CASTLEFIELDS","ST16 1BS",5,7378,52.801013,-2.129518
"M83036","RISING BROOK","ST17 9LY",10,8992,52.787293,-2.120102
"M83044","STAFFORD HEALTH AND WELLBEING","ST16 3EB",15,12653,52.817722,-2.123291
"M83045","PENKRIDGE MEDICAL PRACTICE","ST19 5AP",16,10178,52.725728,-2.118352
"M83049","HOLMCROFT","ST16 1JG",17,10894,52.822459,-2.13209
"M83050","WOLVERHAMPTON ROAD SURGERY","ST17 4BS",17,10115,52.802486,-2.112806
"M83052","WEEPING CROSS HEALTH CENTRE","ST17 0EG",22,20643,52.791511,-2.077781
"M83057","MILL BANK","ST16 2AG",11,10626,52.80489,-2.118627
"M83069","MANSION HOUSE","ST15 8YE",21,15021,52.899943,-2.143758
"M83070","GNOSALL","ST20 0GP",9,8320,52.789992,-2.256521
"M83092","CROWN SURGERY","ST21 6BW",10,8388,52.859415,-2.253515
"M83004","MAYFIELD SURGERY","ST3 4DW",17,10027,52.982709,-2.13456
"M83014","TRENT VALE MEDICAL PRACTICE","ST4 5NX",20,9349,52.987386,-2.201785
"M83021","FURLONG MEDICAL CENTRE","ST6 5UD",11,9872,53.063325,-2.208139
"M83028","GLEBEDALE MEDICAL PRACTICE","ST4 3AQ",8,11798,52.998791,-2.162085
"M83038","ORCHARD SURGERY","ST6 8HY",19,10422,53.064286,-2.162421
"M83047","MEIR PARK & WESTON COYNEY MEDICAL PRACT","ST3 7TW",10,6471,52.966305,-2.094889
"M83061","MILLRISE MEDICAL PRACTICE","ST2 7BW",15,8136,53.04957,-2.141869
"M83066","HARTSHILL MEDICAL CENTRE","ST4 6AT",9,7498,53.009925,-2.210624
"M83068","BELGRAVE MEDICAL CENTRE","ST3 4LR",15,14597,52.979033,-2.132641
"M83075","NORFOLK STREET SURGERY","ST1 4PB",18,13958,53.015778,-2.182495
"M83076","HARLEY STREET MEDICAL CTR","ST1 3RX",12,9096,53.022439,-2.17073
"M83082","THE HAYMARKET HEALTH CTR","ST6 5BE",9,12369,53.060343,-2.211781
"M83090","DUNROBIN STREET MEDICAL CENTRE","ST3 4LL",8,5203,52.981184,-2.131234
"M83094","BROOK MEDICAL CENTRE","ST6 7NN",16,14502,53.057219,-2.175927
"M83100","DR P D MILES AND DR R VALASAPALLI","ST3 6AB",4,3968,52.978505,-2.102928
"M83102","POTTERIES MEDICAL CENTRE","ST2 0JG",4,6199,53.020073,-2.136807
"M83123","BIRCHES HEAD MEDICAL CTR.","ST1 6RS",9,8226,53.035667,-2.154096
"M83126","LONGTON HALL SURGERY","ST3 2EJ",10,7128,52.983377,-2.154372
"M83127","COBRIDGE SURGERY","ST6 2JN",5,6130,53.035863,-2.186115
"M83138","DRS SHAH & TALPUR","ST4 8EX",12,6948,52.974032,-2.194635
"M83143","GOLDENHILL MEDICAL CENTRE","ST6 5QJ",9,4778,53.076901,-2.221385
"M83146","THE MOORCROFT MEDICAL CTR","ST1 3NJ",20,14896,53.021984,-2.168792
"M83601","BRINSLEY AVENUE PRACTICE","ST4 8LT",10,5971,52.96581,-2.191977
"M83619","HONEYWALL MEDICAL PRACTICE","ST4 7JB",8,3157,53.005441,-2.188323
"M83623","SNOWHILL MEDICAL CENTRE","ST1 4PB",6,4118,53.015778,-2.182495
"M83624","CAMBRIDGE HOUSE","ST2 9AJ",3,2879,53.024433,-2.144827
"M83625","PRIMA CARE SURGERIES","ST1 2BN",11,10710,53.027195,-2.170497
"M83627","APSLEY SURGERY","ST6 2JN",8,7696,53.035863,-2.186115
"M83632","TRINITY MEDICAL CENTRE","ST11 9HQ",8,4734,52.969163,-2.070908
"M83650","TUNSTALL PRIMARY CARE CENTRE","ST6 6BE",15,12291,53.057232,-2.206514
"M83661","ADDERLEY GREEN SURGERY","ST3 1EQ",9,6066,52.991714,-2.135511
"M83682","LUCIE WEDGEWOOD SURGERY LTD","ST6 2AB",9,5891,53.045271,-2.194091
"M83709","BADDELEY GREEN SURGERY","ST9 9PB",8,5612,53.061104,-2.133999
"M83711","TRENTHAM MEWS MEDICAL CENTRE","ST4 8XP",6,3624,52.970452,-2.189898
"M83713","MEIR MEDICAL PRACTICE","ST3 6AB",6,4808,52.978505,-2.102928
"M83725","BLURTON MEDICAL CENTRE","ST3 3BS",3,3484,52.972002,-2.156565
"Y02521","WILLOW BANK SURGERY","ST3 6AB",14,10900,52.978505,-2.102928
"Y02867","MIDDLEPORT MEDICAL CENTRE","ST6 3PN",11,3850,53.041204,-2.207555
"D81001","LENSFIELD MEDICAL PRACTICE","CB2 1EH",18,12670,52.198365,0.124449
"D81002","HUNTINGDON ROAD SURGERY","CB3 0DB",26,21859,52.214035,0.11009
"D81003","YORK STREET MEDICAL PRACTICE","CB1 2PY",23,10378,52.205501,0.141576
"D81004","ALCONBURY SURGERY","PE28 4EQ",20,12404,52.371699,-0.256797
"D81005","NEWNHAM WALK SURGERY","CB3 9HS",18,16398,52.199281,0.110503
"D81008","NORTH BRINK PRACTICE","PE13 1JU",16,20137,52.665181,0.156383
"D81010","PRIORY FIELDS SURGERY","PE29 3RL",25,12113,NA,NA
"D81011","CLARKSON SURGERY","PE13 3AN",39,11363,52.669088,0.162062
"D81012","CORNFORD HOUSE SURGERY","CB1 8BA",17,11164,52.186001,0.156644
"D81013","TRUMPINGTON STREET MEDICAL PRACTICE","CB2 1RG",33,21152,52.202444,0.118102
"D81014","STAPLOE MEDICAL CENTRE","CB7 5JD",32,22004,52.33519,0.34195
"D81015","PARSON DROVE SURGERY","PE13 4LF",3,7200,52.660947,0.050459
"D81016","ARBURY ROAD SURGERY","CB4 2JG",20,12749,52.22586,0.12806
"D81017","MILL ROAD SURGERY","CB1 3DG",15,7448,52.197163,0.150585
"D81018","ORCHARD SURGERY,MELBOURN","SG8 6BX",19,8379,52.080651,0.020092
"D81021","ST. GEORGE'S MEDICAL CENTRE","CB6 1JU",19,11980,52.458072,0.299
"D81022","JENNER HEALTHCARE","PE6 0SD",53,84293,52.622001,-0.103578
"D81023","PASTON HEALTH CENTRE","PE4 7DH",17,13809,52.606597,-0.241488
"D81025","CHERRY HINTON MEDICAL CENTRE","CB1 9HR",20,10973,52.187501,0.177548
"D81026","BOROUGHBURY MEDICAL CENTRE","PE1 2EJ",35,28510,52.577858,-0.245486
"D81027","WELLSIDE SURGERY","PE28 5SU",17,7821,52.440324,-0.28478
"D81028","FIRS HOUSE SURGERY","CB24 9NP",18,12424,52.245342,0.110006
"D81029","OLD FLETTON SURGERY","PE2 8AY",17,12760,52.558324,-0.234199
"D81030","GROVE MEDICAL PRACTICE","PE27 5JD",17,15584,52.324255,-0.070142
"D81031","YAXLEY GROUP PRACTICE","PE7 3JL",18,17913,52.516866,-0.251101
"D81033","OVER SURGERY","CB24 5NZ",12,4760,52.314809,0.012018
"D81034","ST MARY'S SURGERY","CB7 4HF",24,16002,52.398364,0.258109
"D81035","COMBERTON SURGERY","CB23 7DY",14,9402,52.189811,0.018614
"D81036","PRIORS FIELD SURGERY","CB6 2RB",16,5999,52.388951,0.124169
"D81037","BRIDGE STREET MEDICAL CENTRE","CB2 3LS",19,10706,52.207794,0.118896
"D81038","KIMBOLTON MEDICAL CENTRE","PE28 0JF",13,6998,52.302566,-0.389167
"D81041","BOURN SURGERY","CB23 2SH",12,6254,52.193155,-0.063404
"D81042","WATERBEACH SURGERY","CB25 9LQ",9,5633,52.270899,0.194751
"D81043","GRANTA MEDICAL PRACTICES","CB22 3HU",72,44718,52.115157,0.169172
"D81044","NUFFIELD ROAD MEDICAL CENTRE","CB4 1GL",24,14226,52.225195,0.152832
"D81045","BUCKDEN SURGERY","PE19 5SZ",15,9602,52.291764,-0.254174
"D81046","NEW QUEEN STREET SURGERY","PE7 1AT",17,19842,52.558054,-0.127684
"D81049","SPINNEY SURGERY","PE27 3TP",22,10697,52.33533,-0.077762
"D81050","THE HICKS GROUP PRACTICE","PE29 3EZ",29,15271,52.334236,-0.188273
"D81051","BURWELL SURGERY","CB25 0AE",15,8794,52.273327,0.331841
"D81052","CORNERSTONE PRACTICE","PE15 9BF",13,9224,52.548858,0.091322
"D81054","RED HOUSE SURGERY","CB4 1ER",23,21963,52.214906,0.129161
"D81055","BOTTISHAM MEDICAL PRACTICE","CB25 9DU",20,5902,52.224676,0.259929
"D81056","PETERSFIELD MEDICAL PRACTICE","CB1 2AB",14,7949,52.201541,0.133791
"D81057","LAKESIDE HEALTHCARE ST NEOTS","PE19 1BQ",26,23479,52.229393,-0.265276
"D81058","HARSTON SURGERY","CB22 7NP",6,7361,52.138364,0.073806
"D81059","RAMSEY HEALTH CENTRE","PE26 1BP",14,7055,52.448482,-0.108107
"D81060","MOAT HOUSE SURGERY","PE28 2RQ",10,7161,52.400913,-0.08438
"D81061","GEORGE CLARE SURGERY","PE16 6EX",21,12179,52.457422,0.051852
"D81062","HADDENHAM SURGERY","CB6 3TA",15,7397,52.358118,0.147084
"D81064","MERCHEFORD HOUSE","PE15 9BY",5,6216,52.548412,0.092097
"D81065","NIGHTINGALE MEDICAL CENTRE","PE1 4FS",6,6073,52.598112,-0.231316
"D81066","QUEEN EDITH MEDICAL PRACTICE","CB1 8PJ",25,9122,52.179781,0.150373
"D81070","WOODLANDS SURGERY","CB2 1LR",16,11518,52.195288,0.128281
"D81073","WESTWOOD CLINIC","PE3 7JW",11,5548,52.591395,-0.269054
"D81078","MAPLE SURGERY BAR HILL HEALTH CENTRE","CB23 8EH",14,3680,52.252937,0.018359
"D81081","GREAT STAUGHTON SURGERY","PE19 5DA",29,3916,52.267702,-0.342284
"D81082","ALMOND ROAD SURGERY","PE19 1DZ",10,7251,52.232524,-0.262072
"D81084","WILLINGHAM MEDICAL PRACTICE","CB24 5LB",15,10434,52.313096,0.061278
"D81085","PAPWORTH SURGERY","CB23 3QQ",13,7409,52.252071,-0.117492
"D81086","EAST BARNWELL HEALTH CENTRE","CB5 8SP",17,7606,52.213952,0.16722
"D81602","COTTENHAM SURGERY","CB24 8SE",7,3837,52.28927,0.124588
"D81603","RIVERSIDE PRACTICE","PE15 8BG",10,8018,52.551522,0.082495
