"","CODE","NAME","POSTCODE","Number_of_Practitioners","NUMBER_OF_PATIENTS"
"1199","C82001","SOUTH LEICESTERSHIRE MEDICAL PARTNERSHIP","LE8 0LG",21,25140
"1200","C82002","COUNTESTHORPE HEALTH CENTRE","LE8 5QJ",18,10897
"1201","C82009","MARKET HARBOROUGH MED.CTR","LE16 9BX",33,26782
"1202","C82010","OAKHAM MEDICAL PRACTICE","LE15 6NT",26,15551
"1203","C82013","BUSHLOE SURGERY","LE18 2EW",22,11316
"1204","C82016","LONG CLAWSON MEDICAL PRACTICE","LE14 4PA",14,7114
"1205","C82021","THE CENTRAL SURGERY","LE2 5AA",16,8925
"1206","C82022","THE BILLESDON SURGERY","LE7 9AJ",14,7301
"1207","C82025","THE WYCLIFFE MEDICAL PRACTICE","LE17 4EB",16,10864
"1208","C82038","LATHAM HOUSE MEDICAL PRACTICE","LE13 1NX",50,35893
"1209","C82039","KINGSWAY SURGERY","LE3 2JN",18,10217
"1210","C82042","THE COUNTY PRACTICE","LE7 2EQ",13,12650
"1211","C82044","EMPINGHAM MEDICAL CENTRE","LE15 8PR",15,8934
"1212","C82048","ROSEMEAD DRIVE SURGERY","LE2 5PP",10,4828
"1213","C82055","THE LIMES MEDICAL CENTRE","LE19 2DU",11,14526
"1214","C82056","THE GLENFIELD SURGERY","LE3 8GS",17,14243
"1215","C82066","FOREST HOUSE MEDICAL CTR","LE3 3FN",14,15397
"1216","C82067","THE CROFT MEDICAL CENTRE","LE2 4PE",12,8881
"1217","C82068","NORTHFIELD MEDICAL CENTRE","LE8 4NS",14,11903
"1218","C82071","WIGSTON CENTRAL SURGERY","LE18 2EW",12,12523
"1219","C82077","THE UPPINGHAM SURGERY","LE15 9EG",14,12136
"1220","C82078","THE JUBILEE MEDICAL PRACTICE","LE7 2EQ",16,12345
"1221","C82079","SOUTH WIGSTON HEALTH CTR.","LE18 4SE",21,7683
"1222","C82098","HAZELMERE MEDICAL CENTRE","LE8 4DN",11,7552
"1223","C82109","HUSBANDS BOSWORTH MEDICAL CENTRE","LE17 6PU",25,4405
"1224","C82112","SEVERN SURGERY","LE2 4NW",16,7106
"1225","C82611","THE MASHARANI PRACTICE","LE17 4EB",11,6381
"1226","C82631","ENDERBY MEDICAL CENTRE","LE19 4LY",10,6986
"1227","C82649","MARKET OVERTON & SOMERBY SURGERIES","LE15 7PP",22,4906
"1228","Y03584","LLR SAS PROVIDER","LE19 2DU",4,44
"1229","Y05412","SOUTH WIGSTON ASYLUM SERVICE","LE1 2BG",2,53
"1230","C82005","GROBY ROAD MEDICAL CENTRE (ID PATCHETT)","LE3 9ED",15,10088
"1231","C82008","OAKMEADOW SURGERY (GJ INGRAMS)","LE3 8NF",11,8792
"1232","C82018","MANOR PARK MEDICAL PRACTICE","LE4 0JF",11,14484
"1233","C82019","STURDEE ROAD HEALTH AND WELLBEING CENTRE","LE2 9DB",6,5536
"1234","C82020","DE MONTFORT SURGERY","LE2 7HX",28,18356
"1235","C82024","SPINNEY HILL MEDICAL CENTRE","LE5 3HX",16,21271
"1236","C82029","WILLOWBROOK MEDICAL CENTRE (JG ASTLES)","LE5 2NL",8,11558
"1237","C82030","DOWNING DRIVE SURGERY (AJJ BENTLEY)","LE5 6LP",14,6826
"1238","C82031","JOHNSON MEDICAL PRACTICE","LE5 1BL",13,14242
"1239","C82033","HUMBERSTONE MEDICAL CENTRE (IP JONES)","LE5 0PR",12,11368
"1240","C82037","EAST PARK MEDICAL CENTRE (RP PANDYA)","LE5 5FD",8,10352
"1241","C82046","SAFFRON GROUP PRACTICE","LE2 6UL",29,17118
"1242","C82053","HOCKLEY FARM MED PRACT (A NANA)","LE3 1HN",20,10913
"1243","C82059","WESTCOTES GP SURGERY (ONE)","LE3 0QR",2,1639
"1244","C82060","THE PRACTICE-SAYEED","LE5 5AY",11,4325
"1245","C82063","EAST LEICESTER MED PRACT(S LONGWORTH)","LE5 4BP",24,12313
"1246","C82073","MERRIDALE MEDICAL CENTRE (RP TEW)","LE3 1BL",15,14387
"1247","C82080","SHEFA MEDICAL PRACTICE","LE2 0TA",5,4826
"1248","C82084","DR B MODI","LE4 6NL",4,3539
"1249","C82086","FOSSE MEDICAL CENTRE (DR H MUKADAM)","LE3 5RR",15,9421
"1250","C82088","HORIZON HEALTHCARE","LE5 5UB",7,9114
"1251","C82092","AYLESTONE HEALTH CENTRE","LE2 8SF",7,3775
"1252","C82094","BEAUMONT LODGE MEDICAL PRACTICE","LE4 0QR",5,6867
"1253","C82099","AL-WAQAS MEDICAL CENTRE","LE2 1DJ",9,4376
"1254","C82100","THE HEDGES MEDICAL CENTRE (SA BAILEY)","LE2 9BU",13,6018
"1255","C82105","AR-RAZI MEDICAL CENTRE","LE5 5PQ",1,3109
"1256","C82107","COSSINGTON PARK SURGERY","LE4 6AW",18,8145
"1257","C82114","DR U K ROY","LE3 0QD",4,2551
"1258","C82116","HIGHFIELDS SURGERY (R WADHWA)","LE2 0NN",5,4049
"1259","C82119","NARBOROUGH ROAD SURGERY","LE3 0PE",4,2610
"1260","C82122","CLARENDON PARK ROAD HEALTH CENTRE","LE2 3AG",8,5546
"1261","C82124","VICTORIA PARK HEALTH CENTRE","LE2 1XD",31,22910
"1262","C82610","THE PARKS MEDICAL CENTRE (B HAINSWORTH)","LE3 9PW",4,6227
"1263","C82614","SPIRIT PRIMARY CARE LIMITED-ASQUITH","LE2 6FQ",14,4262
"1264","C82620","DR S SHAFI","LE3 0AA",2,1883
"1265","C82623","HEATHERBROOK SURGERY (RP ARCHER)","LE4 1EF",3,3583
"1266","C82624","SPIRIT PRIMARY CARE LTD-BEAUMONT LEYS","LE4 0UZ",9,7627
"1267","C82626","PASLEY ROAD HEALTH CENTRE (TK KHONG)","LE2 9BU",6,2305
"1268","C82639","WESTEND MEDICAL PRACTICE","LE3 0LP",7,11146
"1269","C82642","HIGHFIELDS MEDICAL CENTRE","LE5 3GH",8,9829
"1270","C82643","COMMUNITY HEALTH CENTRE (ZS OSAMA)","LE2 0GU",11,13510
"1271","C82651","BROADHURST ST MED PRACT (KS MORJARIA)","LE4 6NF",3,4002
"1272","C82653","WESTCOTES GP SURGERY (TWO)","LE3 0QR",2,1702
"1273","C82659","DR R KAPUR & PARTNERS","LE2 0TA",3,2792
"1274","C82660","ST PETER'S MED CENTRE (MANSINGH & MEHRA)","LE2 0TA",4,6423
"1275","C82662","WALNUT ST MED CTR","LE2 7LE",4,6236
"1276","C82667","THE CHARNWOOD PRACTICE","LE5 3GH",13,7798
"1277","C82669","THE SURGERY @ AYLESTONE","LE2 8PR",4,4194
"1278","C82670","INCLUSION HEALTHCARE","LE1 4SX",11,887
"1279","C82671","BRANDON SURGERY DR R KAPUR & PARTNER","LE4 6AW",2,6259
"1280","C82676","ST ELIZABETH'S MEDICAL CENTRE (JA WOOD)","LE5 1DR",3,5937
"1281","C82680","SPIRIT PRIMARY CARE LTD-RUSHEY MEAD","LE4 7ZX",17,4679
"1282","Y00137","WILLOWS HEALTH","LE5 4LJ",25,6224
"1283","Y00344","LEICESTER CITY ASSIST PRACTICE","LE1 4SX",8,1506
"1284","Y02469","HERON GP PRACTICE","LE5 3GH",5,9801
"1285","Y02686","BOWLING GREEN STREET SURGERY","LE1 6AS",6,5367
"1286","Y03587","WESTCOTES MEDICAL CENTRE","LE3 0LP",14,7
"1287","C82003","GREENGATE MEDICAL CENTRE","LE4 3JF",14,11575
"1288","C82007","CASTLE DONINGTON SURGERY","DE74 2LB",14,10008
"1289","C82011","PINFOLD MEDICAL PRACTICE","LE11 1DQ",16,11878
"1290","C82012","IBSTOCK & BARLESTONE SURGERIES","LE67 6JP",19,11388
"1291","C82014","CASTLE MEDICAL GROUP","LE65 2LP",19,17541
"1292","C82017","MEASHAM MEDICAL UNIT","DE12 7HR",20,15163
"1293","C82026","BRIDGE STREET MEDICAL PRACTICE","LE11 1NQ",14,8326
"1294","C82027","THE OLD SCHOOL SURGERY","LE9 4LJ",10,7846
"1295","C82028","MARKFIELD MEDICAL CENTRE","LE67 9WU",12,7157
"1296","C82032","THE ANSTEY SURGERY","LE7 7AZ",12,7602
"1297","C82034","QUORN MEDICAL CENTRE","LE12 8BP",16,9251
"1298","C82035","PARK VIEW SURGERY","LE11 2AG",11,7633
"1299","C82041","CHARNWOOD MEDICAL GROUP","LE11 5DX",27,12470
"1300","C82043","STATION VIEW HEALTH CENTRE","LE10 1UA",18,11962
"1301","C82045","THE SURGERY","LE67 3FA",7,7298
"1302","C82047","MAPLES FAMILY MED.PRACT.","LE10 1DS",9,10405
"1303","C82050","LONG LANE SURGERY","LE67 4DR",20,13888
"1304","C82051","NEWBOLD VERDON MED.PRACT.","LE9 9PZ",16,11346
"1305","C82052","DR AM LEWIS' PRACTICE","LE67 5HX",5,3954
"1306","C82054","THE BURBAGE SURGERY","LE10 2SE",11,11569
"1307","C82061","BARWELL & HOLLYCROFT MEDICAL CENTRES","LE9 8HR",18,14039
"1308","C82062","BARROW HEALTH CENTRE","LE12 8PY",13,8581
"1309","C82064","FOREST HOUSE SURGERY","LE12 9DF",12,11932
"1310","C82070","WOODBROOK MEDICAL CENTRE","LE11 1NH",14,9858
"1311","C82072","BROOM LEYS SURGERY","LE67 4DE",11,8025
"1312","C82075","CASTLE MEAD MEDICAL CENTRE","LE10 1DS",10,10503
"1313","C82082","THE CENTRE SURGERY","LE10 1DS",12,5280
"1314","C82091","BIRSTALL MEDICAL CENTRE","LE4 4EE",8,8547
"1315","C82093","THE ORCHARD MED PRACTICE","LE9 6RG",11,12110
"1316","C82095","ALPINE HOUSE SURGERY","LE12 7JU",11,9414
"1317","C82096","HUGGLESCOTE SURGERY","LE67 2BS",15,8822
"1318","C82097","CHARNWOOD SURGERY","LE12 7DJ",6,1917
"1319","C82102","MANOR HOUSE SURGERY","LE12 9UJ",6,4679
"1320","C82103","DISHLEY GRANGE MEDICAL PRACTICE","LE11 4RZ",11,7759
"1321","C82111","CAMPUS VIEW MEDICAL CENTRE","LE11 3TU",16,18355
"1322","C82120","WHITWICK HEALTH CENTRE","LE67 5HX",4,3579
"1323","C82121","HEATH LANE SURGERY","LE9 7PB",13,14605
"1324","C82600","THE BANKS SURGERY","LE12 7RD",4,5838
"1325","C82627","SILVERDALE MEDICAL CENTRE","LE4 8NN",7,6187
"1326","C82628","GROBY SURGERY","LE6 0GL",9,3609
"1327","C82634","RATBY MEDICAL CENTRE","LE6 0JP",8,4349
"1328","C82644","DR MK LAKHANI'S PRACTICE","LE12 7UD",3,4514
"1329","C82650","DESFORD MEDICAL CENTRE","LE9 9GR",6,4887
"1330","C82656","FIELD STREET SURGERY","LE12 9AL",2,2589
"1331","C82678","THURMASTON HEALTH CENTRE","LE4 8EA",8,6706
"1332","Y00252","DR SJC CLAY'S PRACTICE","LE12 8RY",2,3179
"1333","M83001","HORSEFAIR PRACTICE","WS15 2FH",15,12015
"1334","M83016","HIGH STREET SURGERY","WS6 7AB",6,7234
"1335","M83033","HEDNESFORD MEDICAL PRACTICE","WS12 4DH",9,6285
"1336","M83048","THE NILE PRACTICE","WS6 7AE",7,9884
"1337","M83063","NORTON CANES HEALTH CENTRE","WS11 9SE",7,3557
"1338","M83107","ALDERWOOD MEDICAL PRACTICE","WS11 1QN",9,6541
"1339","M83109","DR MANICKAM & PARTNER","WS12 4DJ",5,3370
"1340","M83129","HEATH HAYES HEALTH CENTRE","WS12 3TG",11,10797
"1341","M83130","RED LION SURGERY","WS11 5XY",3,3845
"1342","M83139","MOSS STREET SURGERY","WS11 6DE",7,4821
"1343","M83608","QUINTON PRACTICE","WS6 6EW",7,5136
"1344","M83616","DR I RASIB & PARTNERS","WS11 5XY",5,5368
"1345","M83637","CHADSMOOR MEDICAL PRACTICE","WS11 5JT",6,4000
"1346","M83638","THE COLLIERY PRACTICE","WS11 1DJ",20,14035
"1347","M83698","SOUTHFIELD WAY SURGERY","WS6 6JZ",2,3372
"1348","M83703","BRERETON SURGERY","WS15 1DU",5,4895
"1349","M83717","NORTON CANES SURGERY","WS11 9SE",1,3508
"1350","M83719","RAWNSLEY SURGERY","WS12 1JF",2,4399
"1351","M83727","NORTON CANES PRACTICE","WS11 9SE",4,3887
"1352","M83738","AELFGAR SURGERY","WS15 2AB",8,6079
"1353","Y02354","SANDY LANE SURGERY","WS15 2LB",11,10160
"1354","Y02594","ESSINGTON MEDICAL CENTRE","WV11 2RF",13,2764
"1355","C81018","DOVE RIVER","DE6 5HY",11,8779
"1356","M83010","GORDON STREET SURGERY","DE14 2JA",10,10534
"1357","M83013","YOXALL","DE13 8PD",11,4661
"1358","M83026","CARLTON STREET SURGERY","DE13 0TE",14,16230
"1359","M83027","TRENT MEADOWS","DE14 3EY",17,10669
"1360","M83035","ALREWAS","DE13 7AS",10,6441
"1361","M83037","TUTBURY HEALTH CENTRE","DE13 9NA",13,8156
"1362","M83042","BRIDGE SURGERY","DE15 9AW",15,9959
"1363","M83051","WETMORE ROAD SURGERY","DE14 1SL",17,11716
"1364","M83059","ABBOTS BROMLEY SURGERY","WS15 3BT",7,3944
"1365","M83065","BARTON","DE13 8LT",14,7171
"1366","M83073","STAPENHILL MEDICAL CENTRE","DE15 9QD",13,9514
"1367","M83074","BALANCE STREET","ST14 8JG",15,13986
"1368","M83641","MILL VIEW SURGERY","ST14 5JX",6,2105
"1369","M83680","NORTHGATE SURGERY","ST14 7FN",6,6329
"1370","M83681","ALL SAINTS SURGERY","DE14 3LS",5,9452
"1371","M83718","PEEL CROFT","DE14 3RH",3,3671
"1372","Y00078","WINSHILL","DE15 0EP",5,4352
"1373","M83005","HEATHCOTE STREET SURGERY","ST5 7EB",11,5097
"1374","M83007","THE VILLAGE SURGERY","ST5 0ET",8,7465
"1375","M83011","WERRINGTON VILLAGE SURGERY","ST9 0JS",10,8056
"1376","M83012","LEEK HEALTH CENTRE","ST13 6JB",12,8023
"1377","M83015","MADELEY PRACTICE","CW3 9NQ",9,7450
"1378","M83017","ASHLEY SURGERY","TF9 4LF",8,4438
"1379","M83023","KIDSGROVE MEDICAL CENTRE","ST7 4AY",12,9180
"1380","M83025","MILLER STREET SURGERY","ST5 1JD",12,6387
"1381","M83034","SILVERDALE MEDICAL CENTRE","ST5 6PS",17,12001
"1382","M83046","BIDDULPH VALLEY SURGERY","ST8 6AG",13,9778
"1383","M83054","AUDLEY HEALTH CENTRE","ST7 8EW",14,10146
"1384","M83056","WOLSTANTON MEDICAL CENTRE","ST5 8BN",18,11085
"1385","M83067","LYME VALLEY MEDICAL CENTRE","ST5 3TF",9,8076
"1386","M83071","PARK MEDICAL CENTRE","ST13 6QR",20,12333
"1387","M83079","DR J GREIG & PARTNERS","ST13 6LU",10,9022
"1388","M83084","DR ROBINSON & PARTNERS","ST7 4AY",10,6563
"1389","M83089","BIDDULPH DOCTORS","ST8 6AG",20,10939
"1390","M83096","DR KS UPTON'S PRACTICE","ST10 1BH",7,5904
"1391","M83103","ALLEN STREET CLINIC","ST10 1HJ",9,4373
"1392","M83108","DR DO YATES' PRACTICE","ST10 1EY",10,7293
"1393","M83121","TEAN SURGERY","ST10 4EG",8,6093
"1394","M83122","WATERHOUSES MEDICAL PRACT","ST10 3HY",9,3032
"1395","M83140","HIGHERLAND SURGERY","ST5 2UE",6,4578
"1396","M83141","KINGSBRIDGE MEDICAL CENTRE","ST5 3HP",11,8895
"1397","M83640","ALTON SURGERY","ST10 4AP",7,2648
"1398","M83670","KEELE PRACTICE","ST5 5BG",6,7763
"1399","M83691","BETLEY SURGERY","CW3 9BJ",4,1923
"1400","M83697","MILEHOUSE MEDICAL PRACTICE","ST5 9GA",3,3181
"1401","M83701","TALKE PITS CLINIC","ST7 1QQ",9,4235
"1402","M83723","LOOMER MEDICAL PARTNERSHIP","ST5 7JS",22,12092
"1403","M83006","THE WESTGATE PRACTICE","WS13 6JL",34,29664
"1404","M83018","GRAVEL HILL SURGERY","WV5 9HA",9,8217
"1405","M83030","THE LANGTON MEDICAL GROUP","WS13 7FA",27,13904
"1406","M83031","RUSSELL HOUSE SURGERY","WV8 1HD",13,6469
"1407","M83032","THE ALDERGATE MED.PRACT.","B79 8BH",17,13585
"1408","M83062","LAUREL HOUSE SURGERY","B79 7JN",23,12728
"1409","M83072","SALTERS MEADOW HEALTH CTR","WS7 1AQ",11,11434
"1410","M83088","HOLLIES PRACTICE","B79 7EA",19,15720
"1411","M83093","DALE MEDICAL PRACTICE","WV5 8DX",8,6468
"1412","M83097","BILBROOK MEDICAL CENTRE","WV8 1DX",8,8434
"1413","M83110","HEATHVIEW MEDICAL PRACTICE","B77 2ED",9,12561
"1414","M83111","RIVERSIDE SURGERY","B79 7BH",4,1935
"1415","M83113","DR KHARE'S SURGERY","B77 4JA",3,2340
"1416","M83117","CROWN MEDICAL PRACTICE","B79 7EA",6,8800
"1417","M83125","CLAVERLEY","WV5 7BY",10,3583
"1418","M83132","LAKESIDE","WV6 7PD",5,5805
"1419","M83148","THE PEEL MEDICAL PRACTICE","B79 7DJ",20,14507
"1420","M83617","DARWIN MEDICAL CENTRE","WS7 0EW",24,18267
"1421","M83668","TAMAR MEDICAL CENTRE","WV6 7QU",4,4829
"1422","M83693","TRI-LINKS MEDICAL PRACTICE","B77 3BZ",9,6845
"1423","M83706","STONYDELPH MEDICAL PRACTICE","B77 4JA",5,1804
"1424","M83715","FEATHERSTONE","WV10 7BS",11,4755
"1425","Y02414","BURNTWOOD HEALTH & WELLBEING CENTRE","WS7 3XH",8,5010
"1426","M83009","BREWOOD MEDICAL PRACTICE","ST19 9BQ",18,10780
"1427","M83020","CUMBERLAND HOUSE","ST15 8AP",13,9813
"1428","M83022","HAZELDENE HOUSE SURGERY","ST18 0SU",8,8024
"1429","M83024","CASTLEFIELDS","ST16 1BS",5,7378
"1430","M83036","RISING BROOK","ST17 9LY",10,8992
"1431","M83044","STAFFORD HEALTH AND WELLBEING","ST16 3EB",15,12653
"1432","M83045","PENKRIDGE MEDICAL PRACTICE","ST19 5AP",16,10178
"1433","M83049","HOLMCROFT","ST16 1JG",17,10894
"1434","M83050","WOLVERHAMPTON ROAD SURGERY","ST17 4BS",17,10115
"1435","M83052","WEEPING CROSS HEALTH CENTRE","ST17 0EG",22,20643
"1436","M83057","MILL BANK","ST16 2AG",11,10626
"1437","M83069","MANSION HOUSE","ST15 8YE",21,15021
"1438","M83070","GNOSALL","ST20 0GP",9,8320
"1439","M83092","CROWN SURGERY","ST21 6BW",10,8388
"1440","M83004","MAYFIELD SURGERY","ST3 4DW",17,10027
"1441","M83014","TRENT VALE MEDICAL PRACTICE","ST4 5NX",20,9349
"1442","M83021","FURLONG MEDICAL CENTRE","ST6 5UD",11,9872
"1443","M83028","GLEBEDALE MEDICAL PRACTICE","ST4 3AQ",8,11798
"1444","M83038","ORCHARD SURGERY","ST6 8HY",19,10422
"1445","M83047","MEIR PARK & WESTON COYNEY MEDICAL PRACT","ST3 7TW",10,6471
"1446","M83061","MILLRISE MEDICAL PRACTICE","ST2 7BW",15,8136
"1447","M83066","HARTSHILL MEDICAL CENTRE","ST4 6AT",9,7498
"1448","M83068","BELGRAVE MEDICAL CENTRE","ST3 4LR",15,14597
"1449","M83075","NORFOLK STREET SURGERY","ST1 4PB",18,13958
"1450","M83076","HARLEY STREET MEDICAL CTR","ST1 3RX",12,9096
"1451","M83082","THE HAYMARKET HEALTH CTR","ST6 5BE",9,12369
"1452","M83090","DUNROBIN STREET MEDICAL CENTRE","ST3 4LL",8,5203
"1453","M83094","BROOK MEDICAL CENTRE","ST6 7NN",16,14502
"1454","M83100","DR P D MILES AND DR R VALASAPALLI","ST3 6AB",4,3968
"1455","M83102","POTTERIES MEDICAL CENTRE","ST2 0JG",4,6199
"1456","M83123","BIRCHES HEAD MEDICAL CTR.","ST1 6RS",9,8226
"1457","M83126","LONGTON HALL SURGERY","ST3 2EJ",10,7128
"1458","M83127","COBRIDGE SURGERY","ST6 2JN",5,6130
"1459","M83138","DRS SHAH & TALPUR","ST4 8EX",12,6948
"1460","M83143","GOLDENHILL MEDICAL CENTRE","ST6 5QJ",9,4778
"1461","M83146","THE MOORCROFT MEDICAL CTR","ST1 3NJ",20,14896
"1462","M83601","BRINSLEY AVENUE PRACTICE","ST4 8LT",10,5971
"1463","M83619","HONEYWALL MEDICAL PRACTICE","ST4 7JB",8,3157
"1464","M83623","SNOWHILL MEDICAL CENTRE","ST1 4PB",6,4118
"1465","M83624","CAMBRIDGE HOUSE","ST2 9AJ",3,2879
"1466","M83625","PRIMA CARE SURGERIES","ST1 2BN",11,10710
"1467","M83627","APSLEY SURGERY","ST6 2JN",8,7696
"1468","M83632","TRINITY MEDICAL CENTRE","ST11 9HQ",8,4734
"1469","M83650","TUNSTALL PRIMARY CARE CENTRE","ST6 6BE",15,12291
"1470","M83661","ADDERLEY GREEN SURGERY","ST3 1EQ",9,6066
"1471","M83682","LUCIE WEDGEWOOD SURGERY LTD","ST6 2AB",9,5891
"1472","M83709","BADDELEY GREEN SURGERY","ST9 9PB",8,5612
"1473","M83711","TRENTHAM MEWS MEDICAL CENTRE","ST4 8XP",6,3624
"1474","M83713","MEIR MEDICAL PRACTICE","ST3 6AB",6,4808
"1475","M83725","BLURTON MEDICAL CENTRE","ST3 3BS",3,3484
"1476","Y02521","WILLOW BANK SURGERY","ST3 6AB",14,10900
"1477","Y02867","MIDDLEPORT MEDICAL CENTRE","ST6 3PN",11,3850
"1478","D81001","LENSFIELD MEDICAL PRACTICE","CB2 1EH",18,12670
"1479","D81002","HUNTINGDON ROAD SURGERY","CB3 0DB",26,21859
"1480","D81003","YORK STREET MEDICAL PRACTICE","CB1 2PY",23,10378
"1481","D81004","ALCONBURY SURGERY","PE28 4EQ",20,12404
"1482","D81005","NEWNHAM WALK SURGERY","CB3 9HS",18,16398
"1483","D81008","NORTH BRINK PRACTICE","PE13 1JU",16,20137
"1484","D81010","PRIORY FIELDS SURGERY","PE29 3RL",25,12113
"1485","D81011","CLARKSON SURGERY","PE13 3AN",39,11363
"1486","D81012","CORNFORD HOUSE SURGERY","CB1 8BA",17,11164
"1487","D81013","TRUMPINGTON STREET MEDICAL PRACTICE","CB2 1RG",33,21152
"1488","D81014","STAPLOE MEDICAL CENTRE","CB7 5JD",32,22004
"1489","D81015","PARSON DROVE SURGERY","PE13 4LF",3,7200
"1490","D81016","ARBURY ROAD SURGERY","CB4 2JG",20,12749
"1491","D81017","MILL ROAD SURGERY","CB1 3DG",15,7448
"1492","D81018","ORCHARD SURGERY,MELBOURN","SG8 6BX",19,8379
"1493","D81021","ST. GEORGE'S MEDICAL CENTRE","CB6 1JU",19,11980
"1494","D81022","JENNER HEALTHCARE","PE6 0SD",53,84293
"1495","D81023","PASTON HEALTH CENTRE","PE4 7DH",17,13809
"1496","D81025","CHERRY HINTON MEDICAL CENTRE","CB1 9HR",20,10973
"1497","D81026","BOROUGHBURY MEDICAL CENTRE","PE1 2EJ",35,28510
"1498","D81027","WELLSIDE SURGERY","PE28 5SU",17,7821
"1499","D81028","FIRS HOUSE SURGERY","CB24 9NP",18,12424
"1500","D81029","OLD FLETTON SURGERY","PE2 8AY",17,12760
"1501","D81030","GROVE MEDICAL PRACTICE","PE27 5JD",17,15584
"1502","D81031","YAXLEY GROUP PRACTICE","PE7 3JL",18,17913
"1503","D81033","OVER SURGERY","CB24 5NZ",12,4760
"1504","D81034","ST MARY'S SURGERY","CB7 4HF",24,16002
"1505","D81035","COMBERTON SURGERY","CB23 7DY",14,9402
"1506","D81036","PRIORS FIELD SURGERY","CB6 2RB",16,5999
"1507","D81037","BRIDGE STREET MEDICAL CENTRE","CB2 3LS",19,10706
"1508","D81038","KIMBOLTON MEDICAL CENTRE","PE28 0JF",13,6998
"1509","D81041","BOURN SURGERY","CB23 2SH",12,6254
"1510","D81042","WATERBEACH SURGERY","CB25 9LQ",9,5633
"1511","D81043","GRANTA MEDICAL PRACTICES","CB22 3HU",72,44718
"1512","D81044","NUFFIELD ROAD MEDICAL CENTRE","CB4 1GL",24,14226
"1513","D81045","BUCKDEN SURGERY","PE19 5SZ",15,9602
"1514","D81046","NEW QUEEN STREET SURGERY","PE7 1AT",17,19842
"1515","D81049","SPINNEY SURGERY","PE27 3TP",22,10697
"1516","D81050","THE HICKS GROUP PRACTICE","PE29 3EZ",29,15271
"1517","D81051","BURWELL SURGERY","CB25 0AE",15,8794
"1518","D81052","CORNERSTONE PRACTICE","PE15 9BF",13,9224
"1519","D81054","RED HOUSE SURGERY","CB4 1ER",23,21963
"1520","D81055","BOTTISHAM MEDICAL PRACTICE","CB25 9DU",20,5902
"1521","D81056","PETERSFIELD MEDICAL PRACTICE","CB1 2AB",14,7949
"1522","D81057","LAKESIDE HEALTHCARE ST NEOTS","PE19 1BQ",26,23479
"1523","D81058","HARSTON SURGERY","CB22 7NP",6,7361
"1524","D81059","RAMSEY HEALTH CENTRE","PE26 1BP",14,7055
"1525","D81060","MOAT HOUSE SURGERY","PE28 2RQ",10,7161
"1526","D81061","GEORGE CLARE SURGERY","PE16 6EX",21,12179
"1527","D81062","HADDENHAM SURGERY","CB6 3TA",15,7397
"1528","D81064","MERCHEFORD HOUSE","PE15 9BY",5,6216
"1529","D81065","NIGHTINGALE MEDICAL CENTRE","PE1 4FS",6,6073
"1530","D81066","QUEEN EDITH MEDICAL PRACTICE","CB1 8PJ",25,9122
"1531","D81070","WOODLANDS SURGERY","CB2 1LR",16,11518
"1532","D81073","WESTWOOD CLINIC","PE3 7JW",11,5548
"1533","D81078","MAPLE SURGERY BAR HILL HEALTH CENTRE","CB23 8EH",14,3680
"1534","D81081","GREAT STAUGHTON SURGERY","PE19 5DA",29,3916
"1535","D81082","ALMOND ROAD SURGERY","PE19 1DZ",10,7251
"1536","D81084","WILLINGHAM MEDICAL PRACTICE","CB24 5LB",15,10434
"1537","D81085","PAPWORTH SURGERY","CB23 3QQ",13,7409
"1538","D81086","EAST BARNWELL HEALTH CENTRE","CB5 8SP",17,7606
"1539","D81602","COTTENHAM SURGERY","CB24 8SE",7,3837
"1540","D81603","RIVERSIDE PRACTICE","PE15 8BG",10,8018
"1541","D81606","RIVERPORT MEDICAL PRACTICE","PE27 3ER",14,13561
"1542","D81607","SWAVESEY SURGERY","CB24 4RA",5,3287
"1543","D81611","FENLAND GROUP PRACTICE","PE15 0GN",23,13019
"1544","D81612","MILTON SURGERY","CB24 6BL",9,5138
"1545","D81615","THORPE ROAD","PE3 6AP",7,8801
"1546","D81618","AILSWORTH MEDICAL CENTRE","PE5 7AF",6,4247
"1547","D81622","TRINITY SURGERY","PE13 3UZ",9,11858
"1548","D81625","THISTLEMOOR MEDICAL CENTRE","PE1 3HP",18,29368
"1549","D81629","WILLOW TREE SURGERY","PE2 5RQ",3,5231
"1550","D81630","HAMPTON MEDICAL CENTRE","PE7 8DR",9,10596
"1551","D81631","CENTRAL MEDICAL CENTRE","PE1 3BF",7,13791
"1552","D81633","ACORN SURGERY","PE29 7HN",11,10418
"1553","D81637","MONKFIELD MEDICAL PRACTICE","CB23 6HL",22,12270
"1554","D81645","THE GRANGE MEDICAL CENTRE","PE3 6HA",2,2910
"1555","E82072","THE HEALTH CENTRE PRACTICE","SG8 7BS",9,12131
"1556","E82132","ROYSIA SURGERY","SG8 5PT",6,6119
"1557","K83017","WANSFORD","PE8 6PL",15,8870
"1558","K83023","OUNDLE","PE8 4JA",18,10828
"1559","Y00056","CAMBRIDGE ACCESS SURGERY","CB5 8HB",8,695
"1560","Y00185","CATHEDRAL MEDICAL CENTRE","CB6 1DN",28,11067
"1561","Y00486","BOTOLPH BRIDGE COMMUNITY HEALTH CENTRE","PE2 9QB",15,7346
"1562","Y02769","ST NEOTS HEALTH CENTRE","PE19 1AG",5,6808
